method,lr,step,x,y,loss
Adam_Sequential,0.01,15,3.44363,-2.20669,240344
Adam_Sequential,0.01,16,3.43381,-2.19693,238026
Adam_Sequential,0.01,17,3.42401,-2.1872,235732
Adam_Sequential,0.01,18,3.41424,-2.17751,233460
Adam_Sequential,0.01,19,3.4045,-2.16784,231212
Adam_Sequential,0.01,20,3.39477,-2.15822,228986
Adam_Sequential,0.01,21,3.38508,-2.14862,226784
Adam_Sequential,0.01,22,3.37541,-2.13907,224604
Adam_Sequential,0.01,23,3.36577,-2.12955,222447
Adam_Sequential,0.01,24,3.35616,-2.12007,220313
Adam_Sequential,0.01,25,3.34658,-2.11063,218202
Adam_Sequential,0.01,26,3.33703,-2.10123,216112
Adam_Sequential,0.01,27,3.32752,-2.09187,214046
Adam_Sequential,0.01,28,3.31803,-2.08256,212001
Adam_Sequential,0.01,29,3.30858,-2.07329,209979
Adam_Sequential,0.01,30,3.29916,-2.06406,207978
Adam_Sequential,0.01,31,3.28977,-2.05488,205999
Adam_Sequential,0.01,32,3.28042,-2.04574,204042
Adam_Sequential,0.01,33,3.2711,-2.03665,202106
Adam_Sequential,0.01,34,3.26182,-2.02761,200191
Adam_Sequential,0.01,35,3.25258,-2.01861,198298
Adam_Sequential,0.01,36,3.24337,-2.00966,196425
Adam_Sequential,0.01,37,3.2342,-2.00076,194573
Adam_Sequential,0.01,38,3.22506,-1.9919,192742
Adam_Sequential,0.01,39,3.21596,-1.98309,190931
Adam_Sequential,0.01,40,3.2069,-1.97434,189140
Adam_Sequential,0.01,41,3.19787,-1.96563,187370
Adam_Sequential,0.01,42,3.18888,-1.95697,185619
Adam_Sequential,0.01,43,3.17993,-1.94836,183887
Adam_Sequential,0.01,44,3.17102,-1.93979,182175
Adam_Sequential,0.01,45,3.16214,-1.93128,180482
Adam_Sequential,0.01,46,3.15331,-1.92282,178808
Adam_Sequential,0.01,47,3.14451,-1.9144,177153
Adam_Sequential,0.01,48,3.13575,-1.90603,175516
Adam_Sequential,0.01,49,3.12702,-1.89772,173898
Adam_Sequential,0.01,50,3.11834,-1.88945,172298
Adam_Sequential,0.01,51,3.10969,-1.88123,170716
Adam_Sequential,0.01,52,3.10108,-1.87306,169151
Adam_Sequential,0.01,53,3.09251,-1.86494,167604
Adam_Sequential,0.01,54,3.08398,-1.85686,166074
Adam_Sequential,0.01,55,3.07548,-1.84884,164561
Adam_Sequential,0.01,56,3.06703,-1.84086,163065
Adam_Sequential,0.01,57,3.05861,-1.83293,161586
Adam_Sequential,0.01,58,3.05023,-1.82505,160123
Adam_Sequential,0.01,59,3.04188,-1.81722,158677
Adam_Sequential,0.01,60,3.03358,-1.80943,157246
Adam_Sequential,0.01,61,3.02531,-1.80169,155831
Adam_Sequential,0.01,62,3.01707,-1.794,154432
Adam_Sequential,0.01,63,3.00888,-1.78636,153049
Adam_Sequential,0.01,64,3.00072,-1.77876,151681
Adam_Sequential,0.01,65,2.9926,-1.7712,150327
Adam_Sequential,0.01,66,2.98452,-1.7637,148989
Adam_Sequential,0.01,67,2.97647,-1.75623,147665
Adam_Sequential,0.01,68,2.96846,-1.74882,146356
Adam_Sequential,0.01,69,2.96048,-1.74145,145061
Adam_Sequential,0.01,70,2.95255,-1.73412,143781
Adam_Sequential,0.01,71,2.94464,-1.72684,142514
Adam_Sequential,0.01,72,2.93678,-1.7196,141261
Adam_Sequential,0.01,73,2.92895,-1.71241,140022
Adam_Sequential,0.01,74,2.92115,-1.70525,138796
Adam_Sequential,0.01,75,2.91339,-1.69815,137584
Adam_Sequential,0.01,76,2.90567,-1.69108,136385
Adam_Sequential,0.01,77,2.89798,-1.68406,135198
Adam_Sequential,0.01,78,2.89032,-1.67708,134025
Adam_Sequential,0.01,79,2.8827,-1.67014,132864
Adam_Sequential,0.01,80,2.87512,-1.66325,131715
Adam_Sequential,0.01,81,2.86757,-1.65639,130579
Adam_Sequential,0.01,82,2.86005,-1.64958,129455
Adam_Sequential,0.01,83,2.85257,-1.64281,128343
Adam_Sequential,0.01,84,2.84512,-1.63608,127243
Adam_Sequential,0.01,85,2.8377,-1.62939,126155
Adam_Sequential,0.01,86,2.83032,-1.62273,125078
Adam_Sequential,0.01,87,2.82297,-1.61612,124013
Adam_Sequential,0.01,88,2.81566,-1.60955,122959
Adam_Sequential,0.01,89,2.80838,-1.60302,121916
Adam_Sequential,0.01,90,2.80113,-1.59652,120884
Adam_Sequential,0.01,91,2.79391,-1.59007,119863
Adam_Sequential,0.01,92,2.78673,-1.58365,118853
Adam_Sequential,0.01,93,2.77957,-1.57727,117853
Adam_Sequential,0.01,94,2.77246,-1.57093,116864
Adam_Sequential,0.01,95,2.76537,-1.56462,115885
Adam_Sequential,0.01,96,2.75831,-1.55835,114916
Adam_Sequential,0.01,97,2.75129,-1.55212,113958
Adam_Sequential,0.01,98,2.7443,-1.54593,113010
Adam_Sequential,0.01,99,2.73734,-1.53977,112071
Adam_Sequential,0.01,100,2.73041,-1.53364,111142
Adam_Parallel,0.01,10,-0.652759,-0.667561,225330
Adam_Parallel,0.01,20,-0.560701,-0.5731,203837
Adam_Parallel,0.01,30,-0.480263,-0.486877,184560
Adam_Parallel,0.01,40,-0.413501,-0.410777,167372
Adam_Parallel,0.01,50,-0.359889,-0.345097,152068
Adam_Parallel,0.01,60,-0.317485,-0.289118,138432
Adam_Parallel,0.01,70,-0.283996,-0.241684,126264
Adam_Parallel,0.01,80,-0.257358,-0.201577,115384
Adam_Parallel,0.01,90,-0.235921,-0.167684,105638
Adam_Parallel,0.01,100,-0.218436,-0.139048,96887.9
Adam_Sequential,0.001,1,-1.39606,-0.251089,233935
Adam_Sequential,0.001,2,-1.39506,-0.250089,233701
Adam_Sequential,0.001,3,-1.39406,-0.249089,233467
Adam_Sequential,0.001,4,-1.39306,-0.248089,233234
Adam_Sequential,0.001,5,-1.39207,-0.24709,233001
Adam_Sequential,0.001,6,-1.39107,-0.246091,232768
Adam_Sequential,0.001,7,-1.39007,-0.245092,232535
Adam_Sequential,0.001,8,-1.38907,-0.244094,232302
Adam_Sequential,0.001,9,-1.38807,-0.243096,232070
Adam_Sequential,0.001,10,-1.38707,-0.242098,231838
Adam_Sequential,0.001,11,-1.38607,-0.241101,231606
